Board_key,Board,Algorithm,Time execution,Explored nodes
1,"[[-1, 3, -1, 3, 1, 0, 0, 0], [1, 3, -1, -1, 2, 1, 2, 1], [1, 2, 3, 3, 3, -1, 3, -1], [-1, 2, 2, -1, 3, 3, -1, 2], [3, -1, 4, 3, 3, -1, 4, 3], [-1, 5, -1, -1, 5, 5, -1, -1], [-1, -1, 5, -1, -1, -1, -1, 3], [3, -1, 3, 3, -1, -1, 3, 1]]",depthFirstSearch,64.83790588378906,564
1,"[[-1, 3, -1, 3, 1, 0, 0, 0], [1, 3, -1, -1, 2, 1, 2, 1], [1, 2, 3, 3, 3, -1, 3, -1], [-1, 2, 2, -1, 3, 3, -1, 2], [3, -1, 4, 3, 3, -1, 4, 3], [-1, 5, -1, -1, 5, 5, -1, -1], [-1, -1, 5, -1, -1, -1, -1, 3], [3, -1, 3, 3, -1, -1, 3, 1]]",aStarSearch,44.11609697341919,32
2,"[[0, 1, -1, -1, -1, -1, 2, -1], [0, 1, 2, 4, -1, 3, 3, 2], [2, 2, 1, 2, 3, 3, 3, -1], [-1, -1, 2, 2, -1, -1, 4, -1], [3, 4, 3, -1, 5, -1, 4, 1], [-1, 3, -1, 5, 6, -1, 4, 1], [2, 5, -1, -1, -1, -1, 4, -1], [-1, 3, -1, 4, 3, 2, 3, -1]]",depthFirstSearch,52.94825458526611,436
2,"[[0, 1, -1, -1, -1, -1, 2, -1], [0, 1, 2, 4, -1, 3, 3, 2], [2, 2, 1, 2, 3, 3, 3, -1], [-1, -1, 2, 2, -1, -1, 4, -1], [3, 4, 3, -1, 5, -1, 4, 1], [-1, 3, -1, 5, 6, -1, 4, 1], [2, 5, -1, -1, -1, -1, 4, -1], [-1, 3, -1, 4, 3, 2, 3, -1]]",aStarSearch,47.83495044708252,34
3,"[[3, -1, 2, 2, -1, 3, 1, 0], [-1, -1, 2, 3, -1, -1, 1, 0], [2, 2, 1, 2, -1, 4, 2, 1], [0, 1, 2, 3, 3, 3, -1, 1], [1, 3, -1, -1, 3, -1, 5, 3], [-1, 5, -1, 5, 4, -1, -1, -1], [3, -1, -1, -1, 3, 5, -1, 5], [-1, 4, -1, 3, 2, -1, -1, -1]]",depthFirstSearch,62.27671146392822,533
3,"[[3, -1, 2, 2, -1, 3, 1, 0], [-1, -1, 2, 3, -1, -1, 1, 0], [2, 2, 1, 2, -1, 4, 2, 1], [0, 1, 2, 3, 3, 3, -1, 1], [1, 3, -1, -1, 3, -1, 5, 3], [-1, 5, -1, 5, 4, -1, -1, -1], [3, -1, -1, -1, 3, 5, -1, 5], [-1, 4, -1, 3, 2, -1, -1, -1]]",aStarSearch,37.226919412612915,29
4,"[[2, -1, 2, 3, -1, 4, -1, 3], [-1, 4, 4, -1, -1, 5, -1, -1], [-1, 5, -1, -1, 3, 3, -1, 3], [-1, -1, 4, 3, 2, 1, 2, 2], [3, 3, 3, -1, 1, 0, 2, -1], [2, -1, 4, 3, 3, 2, 3, -1], [4, -1, -1, 2, -1, -1, 3, 2], [-1, -1, 3, 2, 2, 3, -1, 1]]",depthFirstSearch,55.839433670043945,403
4,"[[2, -1, 2, 3, -1, 4, -1, 3], [-1, 4, 4, -1, -1, 5, -1, -1], [-1, 5, -1, -1, 3, 3, -1, 3], [-1, -1, 4, 3, 2, 1, 2, 2], [3, 3, 3, -1, 1, 0, 2, -1], [2, -1, 4, 3, 3, 2, 3, -1], [4, -1, -1, 2, -1, -1, 3, 2], [-1, -1, 3, 2, 2, 3, -1, 1]]",aStarSearch,41.27943658828735,31
5,"[[-1, 3, -1, 3, 4, -1, 3, 1], [-1, 6, 4, -1, -1, -1, -1, 2], [-1, -1, -1, 4, 4, 4, -1, 2], [-1, 5, 4, -1, 1, 2, 2, 2], [2, 4, -1, 3, 1, 1, -1, 1], [1, -1, -1, 2, 1, 2, 2, 1], [3, 4, 4, 3, 3, -1, 3, 2], [-1, -1, 2, -1, -1, 3, -1, -1]]",depthFirstSearch,63.43189024925232,469
5,"[[-1, 3, -1, 3, 4, -1, 3, 1], [-1, 6, 4, -1, -1, -1, -1, 2], [-1, -1, -1, 4, 4, 4, -1, 2], [-1, 5, 4, -1, 1, 2, 2, 2], [2, 4, -1, 3, 1, 1, -1, 1], [1, -1, -1, 2, 1, 2, 2, 1], [3, 4, 4, 3, 3, -1, 3, 2], [-1, -1, 2, -1, -1, 3, -1, -1]]",aStarSearch,57.17838954925537,39
